INDEX,SOURCE,NOM DU LIEU,ADRESSE,TELEPHONE,URL,PUBLICS,TYPOLOGIE,DESCRIPTION,LOGO,IMAGE,MODÈLE JURIDIQUE,DEPARTEMENT,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,lat,lon,T,D,C,O,T_,D_,C_,O_,CONCAT_TYPO,DEPARTEMENT_NOM
1,CGET,La Chapelle Coworking,134 Rue Paul Bellamy 44000 Nantes,06 26 41 30 90,https://www.la-chapelle-coworking.fr,Professionnels,T,L’espace a vocation à accueillir les travailleurs indépendants de toute profession qui cherchent un endroit convivial pour travailler à Nantes. ,http://la-chapelle-coworking.fr/wp-content/uploads/2015/10/chapelle_logo_3colors_narrow.jpg,http://la-chapelle-coworking.fr/wp-content/uploads/2015/10/MG_51911-e1444761852788.jpg,Entreprise,44,47.228354,-1.561639,134 Rue Paul Bellamy 44000 Nantes,0.96,housenumber,44109_6200_00134,134,Rue Paul Bellamy,,44000,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.228354,-1.561639,T,,,,Renouveler le travail,,,,Renouveler le travail---,Loire-Atlantique
2,CGET,Dot Parade,3 Rue Mercœur 44000 Nantes,Non renseigné,https://www.dotparade.com,Professionnels,T,Dot Parade  né en avril 2011  a pour volonté d’accueillir au sein de ses locaux des freelances de divers horizons professionnels afin de créer une dynamique d’échange entre entrepreneurs. Son objectif principal est de mettre en relation ses savoir-faire  de créer un réseau de professionnels qui puissent par leurs interactions encourager le développement des structures et la réussite de chacun.,http://www.dotparade.com/site/wp-content/uploads/2018/02/dot_parade.png,http://www.dotparade.com/site/wp-content/uploads/2014/04/dot_parade_20141.jpg,Association,44,47.217239,-1.560024,3 Rue Mercoeur 44000 Nantes,0.96,housenumber,44109_5592_00003,3,Rue Mercoeur,,44000,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.217239,-1.560024,T,,,,Renouveler le travail,,,,Renouveler le travail---,Loire-Atlantique
3,CGET,Espace Esperluette,2 Place Dumoustier 44000 Nantes,09 83 93 27 43 ,http://www.espace-esperluette.fr,Professionnels,T,L’Esperluette est un espace de coworking associatif à Nantes  né en 2013. Ce sont 9 coworkers résidents. Animés par l’esprit collaboratif  ils favorisent les projets entre coworkers et se singularisent par la diversité des métiers présents.,http://www.espace-esperluette.fr/wp-content/themes/esperluette/img/logo-esperluette-coworking-nantes.png,http://www.espace-esperluette.fr/wp-content/uploads/2016/02/coworking-nantes.jpg,Association,44,47.218265,-1.552225,2 Place Dumoustier 44000 Nantes,0.96,housenumber,44109_2632_00002,2,Place Dumoustier,,44000,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.218265,-1.552225,T,,,,Renouveler le travail,,,,Renouveler le travail---,Loire-Atlantique
4,CGET,Startup Palace,18 Rue Scribe 44000 Nantes,02 85 52 43 74,https://www.startup-palace.com,Professionnels,T,Startup Palace est un lieu d'exception en plein centre-ville de Nantes où se côtoient au quotidien plus de 25 startups. ,https://media.licdn.com/dms/image/C4D0BAQH9hmlbUw38Cw/company-logo_200_200/0?e=2159024400&v=beta&t=BsxClLqjjA8zLozSWcHez0tGrQN309nwQcgpjiVABS8,https://www.startup-palace.com/img/locaux.jpg,Entreprise,44,47.214068,-1.562182,18 Rue Scribe 44000 Nantes,0.96,housenumber,44109_7856_00018,18,Rue Scribe,,44000,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.214068,-1.562182,T,,,,Renouveler le travail,,,,Renouveler le travail---,Loire-Atlantique
5,CGET,La Prairie,22 Rue des Olivettes 44000 Nantes,Non renseigné,http://www.alaprairie.fr/,Professionnels,T,Située rue des Olivettes au centre ville de Nantes  la Prairie se compose de quatre open space - l’estive  la vallée  la clairière  le perchoir- mais aussi de grands espaces communs et d’une cuisine pour faciliter les échanges et les collaborations.,http://www.alaprairie.fr/wp-content/uploads/2016/10/LOGOlaprairie-generique-01-1024x724-1.png,http://www.alaprairie.fr/wp-content/uploads/2016/10/Laprairie.png,Entreprise,44,47.210831,-1.549439,22 Rue des Olivettes 44000 Nantes,0.96,housenumber,44109_6012_00022,22,Rue des Olivettes,,44000,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.210831,-1.549439,T,,,,Renouveler le travail,,,,Renouveler le travail---,Loire-Atlantique
6,CGET,La Corderie,2 bis Rue Urvoy de Saint-Bedan 44000 Nantes,06 52 51 98 28,http://www.coworking-nantes-corderie.fr/,Professionnels,T,Les espaces de Coworking de La Corderie permettent d’avoir un pied à terre dans le coeur de la ville de Nantes proche de toutes commodités (transport et restauration). ,http://www.coworking-nantes-corderie.fr/images/logo-white.png,http://www.coworking-nantes-corderie.fr/images/header/slide2_coworking_nantes_corderie.jpg,Entreprise,44,47.213182,-1.566044,2 bis Rue Urvoy de Saint Bedan 44000 Nantes,0.96,housenumber,44109_8276_00002_bis,,Rue Urvoy de Saint Bedan,,44000,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.213182,-1.566044,T,,,,Renouveler le travail,,,,Renouveler le travail---,Loire-Atlantique
7,CGET,DOJO Nantes,26 Boulevard Stalingrad 44000 Nantes,06 44 66 00 58,https://www.dojonantes.com,Professionnels,T,"DOJO Nantes est une grande colloc’ pour entrepreneurs située pile en face de la gare de Nantes.
C'est un lieu qui se veut vertueux pour l’écosystème startup nantais  basé sur des valeurs fortes : transparence  honnêteté  radicalité ; et d’un motto dans le même mood et tout aussi clair : 0% bullshit  100% care !",https://images.squarespace-cdn.com/content/59a6a710d55b419bd793abc5/1504103688388-3CB98CO8OD1LYDEWU1JT/Logo_ICON_NEG_transparent.png?format=1000w&content-type=image%2Fpng,https://images.squarespace-cdn.com/content/v1/59a6a710d55b419bd793abc5/1504101680650-DT219XZ6XOIB5W5VBWLX/ke17ZwdGBToddI8pDm48kFQQgP34qnCpeHaeAOzTt7pZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZamWLI2zvYWH8K3-s_4yszcp2ryTI0HqTOaaUohrI8PIedjZT6_OBzi2ofH1EqNdNeCRxNMlbxs9807lIebBlcA/DOJOcoworkingopenspace.png?format=500w,Entreprise,44,47.217905,-1.542937,26 Boulevard de Stalingrad 44000 Nantes,0.89,housenumber,44109_7964_00026,26,Boulevard de Stalingrad,,44000,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.217905,-1.542937,T,,,,Renouveler le travail,,,,Renouveler le travail---,Loire-Atlantique
8,CGET,Le 144,144 Rue Paul Bellamy 44000 Nantes,02 49 09 24 90,https://www.le144-coworking.fr/,Professionnels,T,Bureaux privés et partagés  open-space  salles de réunion et salles de formation… Cet espace  au cœur de la rue Paul Bellamy  propose une ambiance conviviale  des coins cosys et aussi de grands événements qui ponctuent régulièrement les journées de travail. ,https://www.le144-coworking.fr/wp-content/themes/le144_v2/img/logo.png,https://www.le144-coworking.fr/wp-content/uploads/2020/01/decouvrez-le-144-coworking.jpg,Entreprise,44,47.229071,-1.562215,144 Rue Paul Bellamy 44000 Nantes,0.96,housenumber,44109_6200_00144,144,Rue Paul Bellamy,,44000,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.229071,-1.562215,T,,,,Renouveler le travail,,,,Renouveler le travail---,Loire-Atlantique
9,CGET,La petite Serre,23 Rue Gambetta 44000 Nantes,06 60 35 85 02,http://lapetiteserre.com,Professionnels,T,La petite Serre est née de la volonté de proposer  aux entrepreneurs  responsables d’antenne régionale  indépendants … un contexte de travail qui  de par les interlocuteurs présents et les rencontres proposées  permette très concrètement de faciliter le développement des entreprises et l’épanouissement des hommes qui les gèrent.,https://www.lapetiteserre.com/wp-content/uploads/2017/03/la-petite-serre-logo.png,https://www.lapetiteserre.com/wp-content/uploads/2017/03/espace-commun-lapetiteserre-miniature.jpg,Association,44,47.220417,-1.546169,23 Rue Gambetta 44000 Nantes,0.96,housenumber,44109_3448_00023,23,Rue Gambetta,,44000,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.220417,-1.546169,T,,,,Renouveler le travail,,,,Renouveler le travail---,Loire-Atlantique
10,CGET,Vacouva,43 Quai de Malakoff 44000 Nantes,02 40 74 96 77,https://www.vacouva.fr/,Professionnels,T,Ancré au coeur de Nantes  dans le quartier dynamique EuroNantes/Gare Sud  Vacouva est un lieu inspirant de travail et de rencontres  un espace créatif pour booster l'esprit d’entreprise. ,https://scontent-cdg2-1.xx.fbcdn.net/v/t1.0-9/p960x960/64609514_655514921538662_3871058456291049472_o.jpg?_nc_cat=111&_nc_oc=AQlzCVRbObAjinVcFAKlrKWONMmSthJbJ3GDALa8rvqjNjjz4ZYVAwSYOljzYzqPSiu00Qgc3PY7TKYoB5nQTBH3&_nc_ht=scontent-cdg2-1.xx&oh=06d26c0c2a910c3fe993cf88f622323d&oe=5E51F363,https://www.vacouva.fr/wp-content/uploads/2017/12/Unknown-740x494.jpg,Entreprise,44,47.214658,-1.541114,43 Quai Malakoff 44000 Nantes,0.88,housenumber,44109_5252_00043,43,Quai Malakoff,,44000,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.214658,-1.541114,T,,,,Renouveler le travail,,,,Renouveler le travail---,Loire-Atlantique
11,CGET,Work'in salorges,16 Quai Ernest Renaud 44100 Nantes,02 40 44 63 70,https://www.work-in-salorges.fr/des-espaces-dedies-pour-le-coworking,Professionnels,T,Work'in salorges sait que les manières de travailler évoluent. L'entreprise n'est plus le lieu unique où les collaborateurs se retrouvent. Pour répondre à cette nouvelle demande  sont mises à disposition des Work Box ouvertes en accès libre  avec un accès Wi-fi illimité  pour permettre de travailler librement et en toute tranquilité !,https://www.work-in-salorges.fr/themes/custom/cci_workin/logo.svg,https://www.work-in-salorges.fr/sites/default/files/styles/page_full_desktop/public/2019-11/Work_Box-vide_5_banniere_0.jpg?itok=ouHw9Lln,Entreprise,44,47.205689,-1.574332,16 Quai Ernest Renaud 44100 Nantes,0.96,housenumber,44109_2890_00016,16,Quai Ernest Renaud,,44100,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.205689,-1.574332,T,,,,Renouveler le travail,,,,Renouveler le travail---,Loire-Atlantique
